Title,Summary
"Bar Veloce","While the menu includes supplements like a salad and a cheese platter, Bar Veloce's focus is strictly on sandwiches and wine, and Godard."
"Biricchino","Sausages and charcuterie are the draw at this pleasant, plain little Italian place near Madison Square Garden."
"Grand Sichuan Eastern","The classics of the Grand Sichuan chain are still classic and the new dishes include some truly unexpected combinations."
"Hakubai","The food feeds your curiosity more than your hunger: It is rarefied and supremely Japanese."
"Cafe 2 and Terrace 5","No museum visitor can feel anything but considerable cheer about these two options at MoMA and hail them as a happy commingling of art and appetite."
"Marc Forgione","Marc Forgione is rustic and urban at once, a loft that might be in a Hudson River mill town."
"12 Chairs","It offers Middle Eastern dishes, American sandwiches, omelets and pancakes, as well as simple Russian dishes like fine blini."
"Cafe Luxembourg","Too crowded and too noisy, but if you're looking for a bistro near Lincoln Center, this is the place."
"Casa Mono","Anthony Sasso, the chef de cuisine, has led the Casa Mono kitchen into cooking that a Catalan tapas-bar proprietor might squint at before deciding that tapas do not always need to be interpreted with a strict-constructionist approach."
"Djerdan Burek","Djerdan feels like a jewel, with food cheap enough that you can say you got it wholesale."
"Spice Market","Spice Market still boasts a classier look than many restaurants of its ilk, but the cooking has turned somewhat sloppy since its opening in 2004."
"Goa Taco","Goa Taco's offerings are half-moon in shape, but in lieu of a thin, pliant tortilla, fillings — Chinese five-spice duck confit, say, or Oaxacan-style achiote lamb with Greek tzatziki — are trapped inside paratha, a many-layered Indian flatbread built like a chapbook of dough, each leaf inscribed with ghee."
"The Musket Room","At the Musket Room, Matt Lambert, a native of Auckland, prepares New Zealand food that is ambitious and meticulously detailed."
"Uva","Uva, the offspring of Lusardi's, seems like an Upper East Side wild child."
"The Shanty","The public face of the New York Distilling Company features exemplary cocktails in a comfortable, if slightly anonymous, setting."
"Oceana","Those who order carefully at Oceana — the raw bar, followed by whole fish or simple preparations — will partake of fabulous meals."
"Cosme","The first New York restaurant from the acclaimed Mexican chef Enrique Olvera pulls off two tough moves at once. First, its approach to Mexican cuisine is modern and relaxed, but without the superficiality that might imply. Second, it has a sharp instinct for what New Yorkers want when they go out for dinner, which isn’t often the case with restaurants opened by chefs from abroad."
"Tir Na Nog","Irish cuisine, beyond corned beef and cabbage."
"Gottscheer Hall Tap Room","The taproom at this German social hall serves comfort food with an old-country accent."
"Brasserie","The all-new Brasserie is a clamorous, happy place."
"Sons of Thunder","Sons of Thunder serves what may be the best Hawaiian poke in town."
"Dumpling Galaxy","Sturdy, knobby, domestic creatures in the Northern Chinese tradition, Helen You's dumplings are stuffed to order, and she fine-tunes them with the sensitivity of a natural cook who really listens to her ingredients. At Dumpling Galaxy, she offers 100 varieties, along with an additional menu of dishes from Hunan, Dongbei and Fujian."
"Nanoosh","Nanoosh calls itself a &quot;Mediterranean Hummus Bar&quot; and promotes its organic ingredients but has the prefab look of a franchise."
"DBGB Kitchen and Bar","Daniel Boulud tries downtown on for size with a casually elegant sausage and burger bar that offers great French pleasures alongside the ground meat."
"Papa's Kitchen","At Papa’s Kitchen, Beth Roa, co-owner, waitress and M.C., makes the rounds of tables, gently proffering a karaoke microphone, while in the kitchen her brother, Miguel, cooks serious Filipino comfort food."
"Ricos Tacos","The tortas at Ricos Tacos are the best of their breed in Sunset Park."
"House of Inasal","This Filipino restaurant, in a stretch of Queens known as Little Manila, feels spacious and sleepy, operating at the pace of a desultory ceiling fan. The menu is congenial, offering unlimited rice, all-day breakfast and street specialties like grilled pork intestines and kwek-kwek (deep-fried quail eggs)."
"Lao Dong Bei","Lao Dong Bei specializes in the cuisine of the Dongbei region of northeast China (formerly known as Manchuria), which is still relatively new to our shores, and hasn’t yet entered into a dialogue with, or succumbed to, the American palate."
"Yerba Buena","This tiny pan-Latin spot in the East Village has the swagger, service and potted palms of a restaurant three times its size."
"Casa Del Chef","Casa Del Chef's food — the kind of thoughtful farm-to-table cooking now standard in other parts of the city but still a rarity in this neighborhood — is rooted in the country its chef and owner, Alfonso Zhicay, now calls home."
"Sake Bar Hagi","The contrast between the caustically corporate after-work haunts in Times Square and the sake-buzzed looseness at Sake Bar Hagi, a subterranean izakaya, is one of its biggest charms."
"Da Nico","One of the few Italian restaurants in Little Italy that is actually worth trying."
"Harry's Cafe and Steak","Like today's other newfangled steakhouses, Harry's simultaneously buys into and bucks the traditional formula, with muddled results."
"Blue Collar","Blue Collar is a sunny counter-service-only spot, with red chairs and round white tables anchored by bottles of ketchup and mustard. Burgers, built in the In-N-Out Californian style, start at $4, single and unadorned, and top out at $6.25 for a double with cheese, which is the one you want."
"Crema","Imaginative flourishes or intricate architecture define many of Julieta Ballesteros's dishes, but the kitchen's execution doesn't always live up to the recipes."
"Nitehawk Cinema","Saul Bolton made over the movie-theater usuals and added satisfying comfort dishes and desserts to enjoy while taking in a film."
"The Standard Grill","With 200 seats indoors and another 85 on the sidewalk, it is a marvel that the kitchen reliably bangs out solid, flavorful food that casually integrates Spanish ingredients with French and Italian ideas."
"Crave","When it's frigid and difficult outside, you want something warm and cozy; Crave in Brooklyn fits the bill."
"Yunnan Kitchen","A sleek package of glass and exposed brick on an unreconstructed block of the Lower East Side, Yunnan Kitchen takes a farmer’s market approach to the cuisine of Yunnan Province."
"Pampano","Against a clean backdrop, Pampano's chef, Richard Sandoval, delivers inventive, sharply executed seafood dishes that keep the taste buds busy."
"Minetta Tavern","In freshening up Minetta Tavern, Keith McNally did as expected, figuring out what to buff and what to leave be. But he did something unexpected as well: he fashioned the best steakhouse in the city."
"La Sirène","This minimally decorated, cramped 25-seater by the Holland Tunnel provides a warm change of pace from the vacuous polish and higher prices of better-known establishments."
"Indian Road Cafe","Wandering into Indian Road Cafe is like discovering a secret hideaway. In the culinary tug-of-war between innovation and familiarity, the chef Nicholas Wright-Bodine pulls tenaciously for Team Comfort."
"Esperanto","A warm and welcoming place with Latin food that can be surprisingly subtle."
"Blueprint","An artisanal cocktail bar that serves charcuterie and cheeses, seasonally driven salads, small plates and bigger dishes."
"Maialino","Danny Meyer's trattoria is a Roman holiday in the center of Manhattan."
"Wildair","The chefs Jeremiah Stone and Fabian von Hauske serve familiar, likeable food at this wine bar two doors down Orchard Street from their showcase restaurant, Contra."
"Morgan Dining Room","The new restaurant at the Morgan Library and Museum teaches the eternal pleasures of capitalism: marble fireplaces, heavy silver, and really rich cream sauces."
"Empellón Taqueria","It can be fearsomely loud in Alex Stupak’s brave Mexican restaurant, but one bite of the restaurant’s cloudlike chicharrón with roasted tomato and olive salsa may keep you from running out the door."
"Blenheim","A tremendous amount of thought and effort has gone into Blenheim’s food, drinks and design, but the pieces don’t always fit together. When tables are set up outside next to the cobblestoned streets, Blenheim looks as if its only desire is to be your drop-in-and-hang-out corner tavern. But the food, as imagined by the chef Ryan Tate, has as much business in a rusticated farm-to-table tavern as white tie and spats."
"Butcher Bar","A butcher shop and a restaurant, meats can be taken home to your kitchen or served on the spot."
"The Bao","At this Manhattan outpost of Kung Fu Xiao Long Bao, in Flushing, Queens,  the menu is greatest-hits Chinese, corralling Sichuan flamethrowers with old-school Cantonese."
"Dawa’s","Dawa Bhuti, a young immigrant of Tibetan descent, cooks alongside her father, Ngodup Gyaltsen. The front side of the menu, devoted to brunch dishes of almost Californian lightness, is hers; the thrill is the hidden tracks, listed on the back as “ethnic plates” — Mr. Gyaltsen’s contribution from the hometown he had to leave behind."
"M & T Restaurant","The cuisine of Qingdao is prepared with elegant simplicity at this small Flushing restaurant."
"Punda Tibetan","Punda Tibetan's menu, with just three dishes over $10, is nomadic in spirit, but the best dishes — momos (dumplings), soups of remarkable clarity, beef sautés of alternating brightness and heat — are the ones identified as Tibetan."
"Costata","Michael White returns to the address in SoHo where he made his name, when it was called Fiamma. Now he is an owner and the restaurant is a steakhouse, and the bone-in rib-eye for two, called the Costata, is a reason for this restaurant to exist all by itself."
"Barchetta","There are encouraging nights when Barchetta seems like the ideal downtown seafood restaurant for people who really love the taste of fish. But when the kitchen loses its rhythm, Barchetta can seem mired among all the also-rans."
"Artichoke Basille's Pizza & Brewery","Artichoke Basille's makes an underrepresented style of pizza — big pies on a bready crust, generously and greasily topped — and the city has gone nuts for it."
"Seasonal","What was a fairly bland room has been redecorated and now combines hardwoods and forest green leather chairs so it more closely resembles the East Village wine bars owned by Eduard Frauneder and Wolfgang Ban."
"Oda House","Oda House, on a subdued corner of Alphabet City, may be the first restaurant in Manhattan to capture the inclusive and at times shambolic spirit of Georgian restaurants in southern Brooklyn."
"Food Shing","The fresh noodles, the soup and the prices at Food Shing are good enough to keep you coming back for more."
"El Toro Blanco","Once you plow through the crowds struggling in vain to catch a bartender’s eye at El Toro Blanco, you emerge into a dining room that might be in Santa Barbara during the last days of the Nixon administration."
"Nicoletta","Nicoletta’s pizzas are not quite deep dish, but they are heading in that direction. The crust is as strong as epoxy, and are piled up with an abundance of toppings that would buckle an ordinary pie."
"El Rey Coffee Bar and Luncheonette","Gerardo Gonzalez has has worked out a point of view in the El Rey kitchen that is distinctly his own, a blend of California-Mexican cuisine with some of the less punitive flavors from the health-food and vegan disciplines."
"Blaue Gans","As dashed-off as Kurt Gutenbrunner's Blaue Gans may seem to be, it proves that a restaurant needn't be tremendously significant to be significantly appealing."
"Kyo Ya","A Japanese hideaway in the middle of the East Village, known for its kaiseki dining."
"Turkish Kitchen","Wonderful Turkish food in a seductive setting."
"Kittichai","At Kittichai, a Thai restaurant with infinite visual pleasures, a few dishes do not work, but many more do."
"Ninja New York","Ninja New York is nonsensical, and its climactic illusion may well be a disappearing act."
"Miss Maude's Spoonbread Too","Miss Maude's Spoonbread Too, a bright, inviting restaurant in Harlem, celebrates family meals without the nostalgia implicit in expressions like 'comfort food.'"
"Chayhana Salom","The charming dining room is clean and bright behind a slightly grubby storefront. Food is served on formal china with glimmers of gilt."
"Ivan Ramen","Ivan Orkin, the Long Island-born chef who made his name cooking ramen in Tokyo, comes home with a restaurant that shows his breadth as a chef."
"Village Yokocho","A crowded Japanese spot hiding in plain sight, this is the place you walk through to get to the bar Angel's Share."
"La Sirena","La Sirena has two dining rooms connected by a bar with the approximate dimensions of a jet runway. It's so large that somebody is always on the move. That perpetual motion supplies a lot of La Sirena’s energy; the rest comes from the dressy trattoria cooking."
"Molyvos","Informal and friendly, Molyvos has a thoroughgoing Greek appeal."
"Zing’s Awesome Rice","Raw grains are steeped in olive oil and mysterious seasonings, then steamed, baked and seared in a heavy pan instead of a wok, with more olive oil, a “secret” sauce and ingredients cooked separately before being tossed together at this takeout shop on the Lower East Side."
"Junoon","A dream-state Del Posto, the sort of restaurant where of course you would order a ValpolicellaGrassi with your monkfish tikka."
"Violet’s Bake Shoppe","At this Chinese bakery with a sideline in Vietnamese banh mi, the ratios — of bread to charcuterie (almost all made in-house) to pickles to condiments — are golden. The bread is a cloud in crisp armor, with a crust that snaps like kindling, and then the sandwich is all creaminess, salt and heat, deeply basal flavors and brisk, bright ones, every note seemingly struck at once."
"Burmese Bites","For nearly two decades, the only place to find Myo Lin Thway’s palata (also known, more poetically, as hundred-layer bread) was at a once-a-year church fair. But now, at Burmese Bites on Saturdays at the Queens International Night Market, he serves three dishes, at $5 each; they make you wish he cooked every night, year-round."
"Golden Palace","Modest but tasty, with home-style cooking from China's Northeast region."
"Los Tacos No. 1","Hatched by three entrepreneurial gents from the West (two from California, one from northern Mexico), Los Tacos No. 1 is more or less engineered to serve as an oasis for all those West Coast transplants who are constantly complaining about the dubious quality of tacos in New York City."
"Cafe Istanbul","Cafe Istanbul specializes in lahmacuns and cantiks, dishes in which various meats and vegetables are placed pizza-like atop dough and baked until crisp in the center and puffy around the edges."
"Nobu Next Door","It doesn't accept reservations so you can stroll in and take a number for a seat at the sushi bar."
"Casa Enrique","Cosme Aguilar, the chef of Casa Enrique, brings polish to Mexican classics without tampering with their essence."
"Marta","Pizza, a lesser stop on Rome’s culinary pilgrimage route, is the main event of this pizzeria, opened by the chef Nick Anderer. Marta has Roman appetizers and entire Roman dishes repurposed as toppings for pizzas with thin crusts in the Roman style. Main courses are available, but they are not as trustworthy as the pies."
"Biang!","Biang! is a collaboration between David Shi and his son, Jason Wang, both natives of the ancient imperial city of Xi’an in central China. The merged sensibilities result in a place where Chinese grandparents can sit down next to young people who may not know the original recipes but can recognize great flavors and a very good deal when they see them."
"Kang Suh Restaurant","Two things make this special: it's open 24 hours and you grill your own food at the table."
"Ni Japanese Delicacies","A cluttered stall without tables or chairs in the Essex Street Market offering exquisite dishes."
"Allswell","The best of Nate Smith's cooking shows real sensitivity to ingredients, with a few British touches he picked up during his time at the Spotted Pig."
"Degustation Wine & Tasting Bar","One of the many progeny of Jewel Bako, Degustation works, primarily because most of the modestly portioned dishes, which use Spanish new wave flourishes, are terrific."
"Flinders Lane","There’s a genial ambiculturalism at play at this modern Australian restaurant, which shows clear affection for English tradition while reaching across the Indian Ocean and the South China Sea for more fervent flavors."
"The Peacock","The William, a boutique hotel, offers two upholstered cocktail lounges and two distinct places to eat reformed English cooking. Upstairs is the Peacock, a civilized, grown-up restaurant."
"Tavern on the Green","Compared with its last days before its death of insolvency in 2009 made it the subject of countless dry-eyed eulogies, Tavern on the Green is much, much improved."
"Keens Steakhouse","A meaty Mecca since 1885, Keens Steakhouse continues to provide carnivores a cause for rejoicing."
"Socarrat","Churros are the supermodels of the doughnut world: long, skinny and vaguely extraterrestrial. At La Churreria, they are moist inside yet dry to the touch, crisp and fluffy and chewy all at once; dunk them in the accompanying hot chocolate, which is served in a coffee cup and so dark and thick it almost counts as a pudding."
"Anella","An intimate little art house of a restaurant in Greenpoint, with a menu of simple, seasonally appropriate food."
"Amaranth","Another casual, expensive bistro."
"Robert's Steakhouse","No matter what your appetite for the saucy spectacle accessorizing the steaks at Robert's Steakhouse in the Penthouse Executive Club, you’ll be turned on by the quality of the plated meat."
"Sushi Dojo","High-sheen, poppy neo-disco sets the tone, but the soul of the party is sushi worth getting crazy about."
"O Mai","O Mai, a heavily stylized place that serves traditional, delicate Vietnamese fare, really is the sort of place to cause exclamation."
"Nick and Toni's Cafe","A great neighborhood place on the Upper West Side."
"Patacon Pisao","The specialty here is patacón, the formidable sandwich of the city of Maracaibo, Venezuela, bookended not by bread but by unripe plantains that have been fried, smashed and fried again. The small but sleek storefront traces its origins back to 2005, when Liliana Velazquez, a native of Maracaibo, started selling patacónes out of a truck in Inwood, Manhattan"
"Fort Defiance","In a part of Red Hook that feels like a sleepy Maine port, Fort Defiance is part bar, part restaurant and part serious coffee joint."
"Mimi’s Hummus","The best hummus in town may be found at Mimi Kitani’s namesake restaurant in Ditmas Park, Brooklyn, which now has an outpost in the East Village. The rest of the focused, unfussy menu draws from the Jerusalem-born chef’s Moroccan and Iraqi heritage, including a verdant lentil stew musky with black limes and rosewater-scented milk pudding."
"Kabab Cafe","The minty, spicy aroma alone is reason enough to visit the tiny Kabab Cafe."
"Trestle on Tenth","The wine list at Trestle on Tenth favors small over large producers, spirited over lulling wines, adventure over surefire accessibility."
"The Steakhouse at Fairway","Fairway, the supermarket, has come up with something new: a steakhouse grafted onto a grocery store. The kitchen is more than competent."
"Rosanjin","The delicacy of the food and the precise rhythms of its presentation have the soothing effect of meditation at the kaiseki restaurant Rosanjin in TriBeCa."
"Alison Eighteen","Alison Price Becker’s return to Manhattan is a place where civilized adults can have an appetizer and an entree, in that order, and where the kitchen isn’t going to try any funny stuff."
"Bistro Vendôme","Bistro Vendôme grafts an Upper East Side service ethos onto an undemanding French menu."
"Southern Hospitality","The most confounding thing about Southern Hospitality, Justin Timberlake’s new restaurant, is those baby back ribs. Because they are, against tall odds, good."
"Pho Grand","Timing is not Pho Grand's specialty, but the fare includes some fabulous combinations."
"Bar Room at the Modern","The bar area of the restaurant the Modern may not have the dining room's sculpture-garden view, but it does have a more accessible, straightforward menu of dishes so satisfying that the trade-off is worth it."
"The General Greene","Nicholas Morgenstern goes beyond dessert with updated diner-style comfort foods on small plates."
"Da Ciro","An excellent, often overlooked little Italian restaurant."
"Tenpenny","A good restaurant in a boring Chotchkie’s-like room in the narrow, undistinguished lobby of the Gotham Hotel."
"Maison Premiere","When Maison Premiere first opened in Williamsburg, it was primarily a bar, serving little more than absinthe and oysters. But now a proper kitchen has been built in the basement and the menu expanded."
"La Colombe Torrefaction","A Philadelphia company known for its darker roasts."
"Kutsher's Tribeca","Opened by a member of the family that owns a legendary, if faded, resort in the Catskills, Kutsher’s Tribeca turns all the old jokes about Jewish cooking upside-down."
"Moti Mahal Delux","Heavily influenced by the Persian cuisine that was brought to the subcontinent by the Mogul emperors, the cooking of North India still has an imperial lavishness when cooked with care and consideration for ingredients, as it is at Moti Mahal Delux."
"Lincoln Ristorante","A large and glittery Italian restaurant under a swooping grass roof on the campus of Lincoln Center, run under the direction of the chef Jonathan Benno."
"Inakaya","This Japanese restaurant specializes in robata, or grill cooking, done at the central counter"
"El Cocotero","Venezuelan cooking in a full-service setting, with beer, wine and sangria."
"Stone Park Cafe","The menu at Stone Park Cafe in Park Slope establishes a personality of sophisticated robustness while accommodating many predilections and moods."
"Mimi's Hummus","This sunny Ditmas Park cafe serves flavors that bear traces of the chef's family history in Israel, Morocco and the Kurdish region of Iraq."
"Maloney & Porcelli","A theme park restaurant for lawyers and investment bankers."
"Prune","It is easy to see why Prune is so widely and fervently loved. It listens to its own muse and operates by a credo of whimsical indulgence."
"Bali Nusa Indah","A skip and jump from the theater district, Bali Nusa Indah is the ambiance king of Indonesian restaurants in the city, offering fresh and lively dishes in a pleasant setting."
"Raoul's","A Prince Street mainstay since the mid 1970s, Raoul’s is a taste of the Manhattan found in Sondheim lyrics."
"Gradisca","Gradisca epitomizes the local trattoria, downtown style."
"The Chinese Club","The Chinese Club looks like a straightforwardly (if self-consciously kitschy) Chinese restaurant. But the food is as Chinese as General Tso’s chicken — diaspora cuisine, filtered through another nation’s consciousness, in this case India’s."
"Cassia","One of the most appealing things about Cassia is its pointed lack of interest in being confrontational. The restaurant goes out of its way to be accommodating, without doing too much violence to the various Asian cuisines (Vietnamese in particular) that inspire much of the menu."
"Masa","The food at this excellent Japanese restaurant in the Time Warner Center is exceptional, offering tastes and preparations that can be unforgettable."
"Macao Trading Company","Macao Trading Co. serves not-quite-Portuguese-Chinese-fusion cooking on two levels: an upstairs devoted principally to dining and a more whimsical lounge where the focus is cocktails."
"Lima's Taste","A good deal of the food at Lima's Taste is delicious. Despite the smoke and mirrors, sometimes that's what you want most from a meal."
"Tsion Cafe","Beejhy Barhany, the chef, was born in northern Ethiopia into a community of Beta Israel, as Ethiopian Jews are known. Her menu can read like a biography: eggs scrambled with lox over injera, the sour, springy Ethiopian flatbread perforated like coral; challah French toast spiked with awaze, a meld of earthy-hot berbere and tej, Ethiopian honey wine."
"Wisefish Poké","Wisefish Poké presents raw fish Hawaiian-style, anointed with various sauces and toppings."
"Wafa's","Appealingly fresh food prepared by Lebanon-born chef and owner Wafa Chami"
"Half King","One thing sets the Half King apart from most writers' bars: food that you can actually enjoy."
"Cavo","Cavo combines two mainstays of Astoria, Queens — Greek restaurants and sidewalk cafes — in a setting straight out of Club Med."
"Bâtard","There are high spirits in Bâtard’s dining room, which hums, and at times roars, with the sound of people having a fine night on the town."
"Brick Lane Curry House","The food at Brick Lane Curry House is powerfully spiced, distinctively flavored, extremely fresh."
"Duane Park","This restaurant and nightclub, which closed in TriBeCa in February, has reopened on the Bowery."
"Speedy Romeo","At this artisanal pizzeria on the border of Bedford-Stuyvesant, the pies are of the thin-crust variety, fired in a wood-burning oven."
"Soto","Soto is a showcase for impressive culinary artistry in roughly 30 dishes that combine lovely fish and vibrant seasonings in distinctive ways."
"Cafeteria at the Metropolitan Museum of Art","The renovated cafeteria strikes a bright, modern note, and the eclectic menu, an exercise in high-end populism, seems appropriate for a self-service operation."
"Huertas","Huertas is really two restaurants and two experiences under one roof. In the back is a small, square dining room where the chef, Jonah Miller, serves a set menu of five courses. In the front of the restaurant is an inviting tapas bar, where a different style of eating unfolds."
"El Quinto Pino","A short “menu turistico” investigates a different region of the country every few months and the thirty seats in the dining room feel romantic, but not in an obvious way. It’s a room meant for talking."
"Bruno","Bruno’s chefs, Justin Slojkowski and Dave Gulino, mill the flour for their pizza dough in the basement, and serve pies that don't play it safe."
"The National Bar and Dining Rooms","A lively and comfortable neighborhood bistro in the lobby of the Benjamin Hotel, with a smart, accessible and not terribly expensive menu by the celebrity chef Geoffrey Zakarian."
"Dirty French","What if nouvelle cuisine had embraced maximalism instead of minimalism, full-frontal abandon instead of lean precision? The result might be something like Dirty French, where the chefs Rich Torrisi and Mario Carbone treat the food of France with a hugely energizing lack of respect."
"Sookk","Interesting if unsteady food makes Sookk an exception to the increasingly charmless Thai restaurants of Manhattan."
"John Brown Smokehouse","True Midwestern barbecue in Queens."
"Jollibee","Jollibee is a Filipino fast-food chain, with 600-plus outlets there, across Asia and on our own West Coast."
"Crown","A luxe town house restaurant by John DeLucie of the Lion in Greenwich Village."
"Earl's Beer and Cheese","It’s comically tiny and always packed, and it doesn’t look much like a bar, but Earl’s has charm in spades."
"Cachapas y Mas","A narrow storefront that serves Venezuelan cooking like roast pork sandwiches made with fried plantains."
"Chimichurri Grill","This menu will make any carnivore smile."
"Chuko","The unexpected stars of the menu at this 35-seat ramen shop are the vegetables, lusty and infused with swagger."
"Wilfie & Nell","The food at Wilfie & Nell, named for the grandparents of brothers Mark and Simon Gibson, is resolutely pub fare."
"Di Fara Pizza","In Midwood, Brooklyn, one holdout stands solidly against the tide against pizza by the slice."
"Little Morocco","This breezy cafe in Astoria, Queens, has an exceptional merguez sandwich."
"Bati","Bati serves traditional Ethiopian food in an environment that has a slightly improvised air."
"Rosemary's","There are reasons Rosemary’s waiting list has been oversubscribed since its opening. First among them is the spirited cooking of Wade Moises, who learned to move gracefully around a scalding pot of spaghetti at Mario Batali’s finishing school."
"Traif","Thoughtful cooking with subtle and complex flavors on the border of Hasidic Williamsburg and hipsterville."
"Ápizz","Frank DeCarlo and John LaFemina, who own Peasant, on Elizabeth Street, now have a second wood-fueled restaurant: Ápizz, has an immense brick oven."
"Silver Moon Bakery","Silver Moon Bakery, a small shop at 2740 Broadway, has enough variety to fill the baskets of fresh-bread-starved Upper West Siders."
"Avra","Fresh fish, barely touched, is the selling point here. It's an appealing formula, to which Avra brings its own brand of charm."
"Shopsin’s General Store","A reincarnation, in the Essex Street Market on the Lower East Side, of the fabled West Village restaurant. It includes many of the old restaurant’s countless quirks, including a sprawling menu."
"Bistro Ten 18","The problem with Bistro Ten 18 is that it wants to be more than a neighborhood restaurant."
"Thelewala","Unlike other late-night joints, the fare is made to order, Indian street food at its brightest and freshest."
"Timna","Timna’s chef, Nir Mesika, grew up in Israel, and his cooking is at its strongest when he draws from memory, as with kubaneh, a Yemenite-Jewish bread somewhere between brioche and challah, or a simple dish of vegetables and farro laced with raw tahini and date molasses."
"Uncle Nick's Greek Cuisine","Once a little hole in the wall in Clinton, Uncle Nick's has expanded a handsome Greek taverna."
"Nusara","Nusara belongs on the short but growing list of reliably good Thai restaurants in Queens."
"Community Food and Juice","Though its name conveys all the allure of a food bank, Community Food and Juice is the most welcoming restaurant to appear on the Upper West Side in years."
"Aquagrill","SoHo's very own seafood emporium is like a particularly hip mom-and-pop place."
"Safari","At Safari, there are fine heaps of meat, underscored by African birdseye chiles; influences from across the gulf and the Arabian Sea; and turmeric-tinged rice nestled companionably beside pasta in a quasi-Alfredo sauce of coconut and cow’s milks, imbued with oregano, rosemary and basil — a legacy of Somalia’s half-century of Italian occupation."
"Cafe ""At Your Mother-in-Law""","Serves an amalgam of Eastern European, Korean and Uzbek cuisines in a sunny space in the heart of Little Odessa."
"SakaMai","SakaMai is a Japanese restaurant filtered through an American consciousness, respectful of tradition but not bound by it."
"Extra Virgin","Extra Virgin, a creation of the chef Joey Fortunato, is a little gem of a restaurant."
"The Library at the Public","There is nothing glib about the food at The Library at the Public, a crepuscular attic of a restaurant chiseled from the upper recesses of the lobby at the Public Theater."
"Podunk","The ineffably charming Podunk, in the East Village, is a self-styled &quot;American tearoom.&quot;"
"Freek’s Mill","Freek’s Mill looks not very different from other young, ingredient-minded Brooklyn restaurants. But the wine list is wonderfully eccentric, heavily weighted with chenin blanc and gamay. These wines are flexible, wrapping themselves around whatever you happen to be eating. This is lucky, because so many things on Chad Shaner’s menu are worth trying."
"Han Joo","Han Joo offers barbecue by way of the spa, each tabletop grill an infrared sauna in miniature, the pulse of heat from the crystal cooking everything to eerie evenness."
"Blue Ribbon Sushi Izakaya","The strains of empire are apparent at Blue Ribbon Sushi Izakaya, the latest addition to Eric and Bruce Bromberg’s ever-expanding Blue Ribbon portfolio."
"Gari","Gari offers artfully prepared and fresh sushi; the only issue may be the cost."
"Korzo","This gastro-bar in Brooklyn serves Mittel-European comfort food in what might be called recession-era portions."
"Lucy’s Vietnamese Kitchen","At Lucy’s Vietnamese Kitchen, pho chay has a bold near-funk from long-simmering shiitake mushrooms, charred shallots, ginger and a suffusion of spices, and while the broth, as crystalline as consommé, is lovely in its pristine state, it is even better besmirched by brisket that has been smoked for 14 hours."
"Awash","Awash, a small but crowded restaurant on Amsterdam Avenue near 106th Street, excels at both vegetarian dishes and at kitfo, a raw beef delicacy invariably referred to as Ethiopian steak tartare."
"The Beagle","First-rate food and mixed drinks together become something less than the sum of the parts."
"Le Zie","Appropriately for a Venetian spot, much of the food suggests the sea."
"E.A.T.","Looks like a coffee shop, costs like caviar."
"McSorley's Old Ale House","The limited menu of burgers and sandwiches does little but pad the stomach for more beer."
"First Avenue Pierogi and Deli Co.","Excellent Polish and Ukrainian takeout, like delicate pierogi, half-moon dumplings with stuffings like potato or carrot and mushroom."
"Le Relais de Venise L’Entrecôte","Cheerful bistro setting offers paintings of Venetian scenes; good flowers; candlelight."
"Thursday Kitchen","Thursday Kitchen has more interesting cooking than you might expect from a restaurant that serves illuminated cocktails in plastic bags, like debauched Capri Suns. Kyungmin Kay Hyun, the chef, a native of South Korea, ferments her own ponzu for 30 days to accompany her exemplary pajeon (scallion pancake); pairs charred octopus with a chardonnay gelée and a Korean barbecue-like tincture of soy, scallions and Asian pear; and tempers crispy pork belly with white kimchi, so called because it’s made without chile, privileging funk over heat."
"Bar Boulud","Daniel Boulud has made Bar Boulud, which opened at the start of 2008, a place where many of the seats are at a long counter, walk-in business is encouraged and the star attractions are the fantastic charcuterie selections and a terrific wine list."
"Sasabune","Sasabune exemplifies a certain kind of sushi restaurant and experience: the unadorned, serene refuge where diners submit to an omakase menu and to a chef with firm, largely unwavering ideas."
"Mission Cantina","Mission Cantina, Danny Bowien's nonconformist Mexican restaurant, charges under $10 for almost everything on the menu. For those prices, you don’t grumble too loudly when a dish fizzles."
"Brasserie 8 1/2","Signs of over achievement are everywhere on the menu, and it is easy to understand why. The food has to go a long, long way to take anyone's mind off the design."
"Sushi Azabu","Sushi Azabu stands out in a crowded sushi marketplace on account of its sublime setting."
"Barbounia","Most of the food at Barbounia is appealing without rising to the level of exciting."
"Tulsi","The chef Hemant Mathur's glittering Midtown redoubt of Indian cooking."
"Mayfield","Mayfield is broadly American in mission, with an occasional Southern twang."
"Fish Cheeks","Specializing in a small number of seafood dishes from around Thailand, Fish Cheeks is not a groundbreaking experiment; it simply cooks the way more Thai kitchens should."
"Tong Sam Gyup Goo Yi","At this barbecue restaurant, the gleaming black grill plate on each table mimics the lid of a traditional Korean cauldron, allowing the pork belly’s drippings to run down into the wreath of bean sprouts, kimchi and garlic cloves snapping on the hot iron below."
"Momofuku Noodle Bar","Momofuku Noodle Bar occupies the realm of deeply personal restaurants defined by one person's vision and drive — in this case, of David Chang."
