Title,Summary,review_link,review_link-href,Review,Recommended-dishes,address,telephone,drinks,cuisine
"Balaboosta","Einat Admony’s charming and casual Middle Eastern trattoria with Israeli roots near the top end of Little Italy.","Read Review","http://www.nytimes.com/2010/06/30/dining/reviews/30rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""SO here is a young woman sitting in Balaboosta with her parents, explaining the menu to them. She has a boyfriend in tow. The two sides of the table regard each other warily over mash-your-own hummus, as a votive candle flickers against the dusk.""},{""Review"":""The restaurant, a charming and casual Middle Eastern trattoria with Israeli roots that Einat Admony opened near the top end of Little Italy this spring, seems to be filled with such pairings: fathers and daughters, mothers and boyfriends. The older people look around wide-eyed and curious, as if children themselves. The children deal with this as best they can.""}]","A neighborhood restaurant serving Middle Eastern food, charming and casual, ever-so-slightly chic.","214 Mulberry Street,
                             Nolita","212-966-7366","About what you’d expect at a crowded Thanksgiving dinner; there’s no need to shout.","Mediterranean"
"Los Tacos No. 1","Hatched by three entrepreneurial gents from the West (two from California, one from northern Mexico), Los Tacos No. 1 is more or less engineered to serve as an oasis for all those West Coast transplants who are constantly complaining about the dubious quality of tacos in New York City.","Read Review","http://www.nytimes.com/2013/08/21/dining/reviews/hungry-city-los-tacos-no-1-and-tres-carnes.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""We know: we can be insufferable. If you live on the East Coast and you have friends like me who have moved from the West Coast or the Southwest (even from ostensibly mellow pockets of California and Texas like Santa Barbara and Austin), you have probably learned that it is sensible to steer clear of the whole subject of tacos.""},{""Review"":""Mellow? When it comes to Mexican food in New York, transplanted Westerners tend to exist in a constant state of grievance.""}]","singlepage.com/los-tacos-no-1","75 Ninth Avenue ,
                             Chelsea","212-256-0343","Adobada tacos, carne asada tacos, deep-fried quesadilla, horchata.","Mexican, Tex-Mex"
"LoLo’s Seafood Shack","Behind the frosted windows of LoLo’s Seafood Shack, the extemporaneous spirit of the lolo — the kind of open-air barbecue joint found on the beaches and roadsides of St. Martin in the West Indies — is strong.","Read Review","http://www.nytimes.com/2015/01/28/dining/hungry-city-lolos-seafood-shack-in-harlem.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""There is no grill on a sawed-off oil drum, no lick of breeze or view of the sea in sun-shocked blue. But behind the frosted windows of LoLo’s Seafood Shack, which opened in Harlem in October, the extemporaneous spirit of the lolo — the kind of open-air barbecue joint found on the beaches and roadsides of St. Martin in the West Indies — is strong.""},{""Review"":""A pink flamingo lists from a pot otherwise occupied by a pony palm and a tiki torch. A branch of driftwood tilts down a wall, with a face painted on one end like a smiling snake’s. That’s Ralph Waldo Emerson on a mini-surfboard, exhorting you to “live in the sunshine.” Then J Boog comes on the speakers with, “She’s a mystery, she only love me when she tipsy,” and the volume goes up.""}]","singlepage.com/lolos-seafood-shack","303 West 116th Street,
                             Harlem","646-649-3356","Conch fritters; smoked wings; snow crab legs with coco curry sauce; LoLo’s fries.","Caribbean"
"Corkbuzz Wine Studio","A spacious, sleek, friendly wine bar with a global spin.","Read Review","http://www.nytimes.com/2012/01/11/dining/reviews/corkbuzz-wine-studio-nyc-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""13 East 13th Street (Fifth Avenue); (646) 873-6071; corkbuzz.com""},{""Review"":""In an area that can feel like a food court for New York University students, Corkbuzz Wine Studio stands out as a destination for grown-ups. No rickety stools or sticky tables: instead, a high-gloss wine bar with lofty goals, ambitious food and prices to match. An owner, Laura Maniec, who was a partner and the beverage director of B. R. Guest, has built a room that works for drinking, eating and teaching, with communal tables in the back, high bar tables along the wall and low squishy chairs in front. (She is also in charge of wine here and teaches most of the classes.)""}]","singlepage.com/corkbuzz-wine-studio","13 East 13th Street,
                             Greenwich Village","646-873-6071","Cheese and charcuterie, brandade fries, pickles, seafood salad, bucatini with brussels sprouts, shrimp with squash butter, short ribs.","Wine Bars"
"Lavo","An Italian restaurant serving large portions, set above a nightclub on East 58th Street.","Read Review","http://www.nytimes.com/2010/11/10/dining/reviews/10rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""THE imaginary mailbag this week spilled forth an imaginary request from an imaginary jock. I endeavored to answer him.""},{""Review"":""Q. I need you to recommend a restaurant. I’m a 35-year-old professional in Manhattan, and I am looking for a place where I can take my boys from the office to meet this smoking-hot girl I hooked up with at Lily Pond in the Hamptons this summer.""}]","The E-Trade baby gets a Balthazar all his own.","39 East 58th Street,
                             Midtown East","212-750-5588","And Duke beats Notre Dame in overtime to win the N.C.A.A. lacrosse title!","Italian"
"Little Pepper","The chefs excel at bringing the fiery flavors of Sichuan cuisine into balance with sweet, salty and sour ones.","Read Review","http://www.nytimes.com/2016/02/24/dining/little-pepper-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Little Pepper began life a dozen years ago in the competitive Chinese nucleus of downtown Flushing, Queens. Five years ago, Cheng Ying Wu and her husband, Gui Ping Huang, the owners, moved it northwest to College Point, where its nearest rival is a graffiti-scrawled storefront across the street selling takeout chop suey and chow mein. Little Pepper is not entirely free of American Chinese food, but its pork lo mein is not one of its chief attractions.""},{""Review"":""The reason to drive to College Point Boulevard (by far the easiest way to get to Little Pepper, about a 20-minute bus ride from the nearest subway stop) is to eat undiluted Sichuan cooking, like silken tofu with scallions. Little chilled blocks of tofu will be covered with scallions and chopped peanuts turned the color of bricks by chile oil. Woven through the burning heat of the oil will be the unmistakable, medicinal hum of Sichuan peppercorns. The crunch and burn and throb of the sauce crashes against the soft and passive tofu; the contrast enhances both.""}]","A bright, well-lit dining room decorated, coffee-shop style, with paintings by local artists. Servers are genial, but can seem overwhelmed even at slow hours, when the wait for a glass of water or a fresh teapot can stretch out.","18-24 College Point Boulevard,
                             College Point","718-939-7788","Moderate.","Chinese"
"The Meatball Shop","This meatball specialist on the Lower East Side offers the signature fare in a half-dozen flavors and all sorts of permutations.","Read Review","http://www.nytimes.com/2010/03/17/dining/reviews/17dinbriefs-002.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""84 Stanton Street (Allen Street), Lower East Side, (212) 982-8895, themeatballshop.com.""},{""Review"":""With a 40-minute wait on a Sunday night, the feeding at The Meatball Shop, a neo-retro Lower East Sider dressed in vintage photos and meat-grinder parts, is so frenzied it feels Pavlovian. Say “meatball” in this town, and everyone’s inner child comes out noshing.""}]","singlepage.com/meatball-shop","84 Stanton Street,
                             Lower East Side","212-982-8895","$ (inexpensive)","Italian"
"Blenheim","A tremendous amount of thought and effort has gone into Blenheim’s food, drinks and design, but the pieces don’t always fit together. When tables are set up outside next to the cobblestoned streets, Blenheim looks as if its only desire is to be your drop-in-and-hang-out corner tavern. But the food, as imagined by the chef Ryan Tate, has as much business in a rusticated farm-to-table tavern as white tie and spats.","Read Review","http://www.nytimes.com/2014/10/22/dining/restaurant-review-blenheim-in-the-west-village.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Morten Sohlberg designed the tables for Blenheim, the West Village restaurant he and his wife opened in May. The concrete tops are polished smooth with beeswax, and the sides are edged with copper. The shapes look irregular, but the sides are slightly bowed so that a pair of two-tops can spoon against each other and become a four-top.""},{""Review"":""“That’s the idea, anyway,” our server said. “But they don’t all fit together.”""}]","An attractive corner room that’s half rustic, half contemporary.","283 West 12th Street,
                             West Village","212-243-7073","Moderate.","Modernist"
"El Papasito","A midtown Dominican restaurant.","Read Review","http://www.nytimes.com/2009/03/04/dining/reviews/04unde.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""MIDTOWN morning: a dash from subway to cubicle down wind-swept avenues. Chain-store coffee in a paper cup. A cold street-cart bagel with an aging smear.""},{""Review"":""Leaves a hole in your soul, huh?""}]","null","null","null","null","null"
"Porsena","Just what a small Italian restaurant in the Village should be: warm, modern, cozy and hip.","Read Review","http://www.nytimes.com/2011/02/16/dining/reviews/16dinbriefs.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""21 East Seventh Street (Third Avenue), East Village; (212) 228-4923.""},{""Review"":""“No roast pork?” the groupies mutter while reading the menu at Porsena, a cozy new Italian place in the East Village. Sara Jenkins, the chef and an owner, already runs a nearby storefront called Porchetta, a culinary one-hit wonder dedicated to a fennel- and garlic-scented pork roast. It is one of the great meats of Manhattan, but you have to perch on a stool or decamp to Tompkins Square Park to eat it.""}]","singlepage.com/porsena","21 East Seventh Street,
                             East Village","212-228-4923","Crostini, salads, pastas (especially rings with spicy lamb sausage, penne with roasted cauliflower and crunchy bread crumbs, and twists with melted cheese), braised beef shin, olive oil cake, flourless chocolate cake, cheeses.","Italian"
"Thelewala","Unlike other late-night joints, the fare is made to order, Indian street food at its brightest and freshest.","Read Review","http://www.nytimes.com/2011/05/18/dining/reviews/thelewala-nyc-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""112 Macdougal Street (West Third Street), (212)614-9100, thelewalany.com.""},{""Review"":""One of the rewards of living in New York is that you can eat at any hour, even if the dollar slice or overstuffed shawarma that was amazing at 4 a.m. doesn’t seem like such a good idea the next day. Beer goggles work on food. And you usually need them for after-midnight eating on the stretch of Macdougal Street where the Indian joint Thelewala opened last month.""}]","singlepage.com/thelewala","112 Macdougal Street,
                             Greenwich Village","212-614-9100","Lime paneer roll (get it spicy), minced lamb roll, Thelewala chicken roll, behl pori, jaal moori, tawa chicken fry with parathas.","Indian"
"Arlington Club","A self-described steakhouse that can be experienced in any number of ways.","Read Review","http://www.nytimes.com/2013/01/16/dining/reviews/restaurant-review-arlington-club-on-the-upper-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""AS soon as you settle on your order at Arlington Club, which can take time because the menu sprawls out like a reclining lawn chair, a basket will land on your table. The basket will hold popovers. The popovers will be huge, steaming hot inside and bronze on top, with a crown of baked Gruyère, Emmental and fontina.""},{""Review"":""One more thing they will be is gone within minutes. They are that good, as you will remember if you have ever eaten at BLT Steak, where a very similar popover kicks off your meal. For anyone who hasn’t tasted one recently, it’s great to see them again at Arlington Club, now two months into its run on the Upper East Side.""}]","A dramatic, two-level space that looks like a train station out of Jules Verne.","1032 Lexington Avenue,
                             Upper East Side","212-249-5700","It turns out that Upper East Siders can shout just as loudly as the kids downtown.","American, Steak Houses"
"Han Dynasty","Han Chiang’s chain of Sichuan restaurants has been so popular in and around Philadelphia that Mr. Chiang plans to open 100 locations around the country. There are quite a few towns where this would be great news, but Manhattan has far better Sichuan kitchens.","Read Review","http://www.nytimes.com/2014/01/22/dining/restaurant-review-han-dynasty-in-the-east-village-and-hirohisa-in-soho.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Independent thinkers find this hard to admit, but when you see crowds of New Yorkers standing outside a bakery or putting their names on the list at the door of a restaurant, more often than not the food they’re hanging around for is worth eating.""},{""Review"":""Whether it’s worth the wait is a separate question. In general, though, the crowds know something. Dominique Ansel Bakery is a wonderland, and Maison Premiere’s happy hour is such an amazing bargain that I am afraid that simply mentioning it may spook the owners into charging more than a dollar for each pristine oyster.""}]","A neighborhood Chinese joint with contemporary art hanging on sunny yellow walls.","90 Third Avenue ,
                             East Village","212-390-8685","Moderate.","Chinese"
"Café Altro Paradiso","A fantasy on the theme of a simple Italian cafe; the food can look and sound ordinary, but is often anything but.","Read Review","http://www.nytimes.com/2016/05/11/dining/cafe-altro-paradiso-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Over the 11 or so weeks Café Altro Paradiso has been open, I’ve taken some photographs that are as awful as the food is good.""},{""Review"":""The restaurant’s carpaccio is simple and marvelous, a single piece of raw bison pounded so thin that when it is laid over small, newly fried potato chips and a mound of arugula salad, it drapes like purple silk. My picture, though, could be a close-up of a skinned knee, or an aerial shot of a dormant volcano made out of flesh.""}]","A split-level space with an Italian cafe at its core, but with the details expanded upon and polished. Servers are generally efficient and attentive, but can become remote at busy hours.","234 Spring Street,
                             SoHo","646-952-0828","Moderately loud.","Italian"
"Trini-Gul","Lines form early here for the heady wraps of stew known as roti.","Read Review","http://www.nytimes.com/2009/12/23/dining/reviews/23brief-002.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":"" 543 Nostrand Avenue (Herkimer Street), Crown Heights, Brooklyn; (718) 484-4500.""},{""Review"":""Trini-Gul, slang for a woman from Trinidad, is a new Caribbean takeout restaurant in a neighborhood filled with them. It’s small, neat and welcoming, decorated with photographs of island scenes, with just a few tables. But it’s worth a detour.""}]","singlepage.com/trini-gul","543 Nostrand Avenue,
                             Bedford Stuyvesant","718-484-4500","$ (inexpensive)","Caribbean"
"Sushi Yasuda","Sushi Yasuda sets the standard in New York for the pure expression of sushi culture.","Read Review","http://www.nytimes.com/2011/11/16/dining/reviews/sushi-yasuda-nyc-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""WHEN a good friend insisted a few years back on dining by herself at the French Laundry, the renowned Napa Valley restaurant, I found it hard to comprehend. Wouldn’t she miss out on the communal relishing of shared flavors, delights and memories?""},{""Review"":""Of course, she said. But more important to her was the opportunity to savor each nuance with unobstructed emotions, to laugh or to weep as the mood dictated, without the sort of inhibitions companions might pose. Her meal turned out to be exactly the uncompromised joy she had imagined.""}]","Calm and cerebral, with the focus squarely on the food.","204 East 43rd Street,
                             Midtown East","212-972-1001","Pleasantly quiet.","Japanese, Sushi"
"Karasu","Karasu is a speakeasy behind the back wall of a corner tavern. The first surprising thing about the food is that there is any. The second is that it’s so polished and considered.","Read Review","http://www.nytimes.com/2016/10/19/dining/karasu-zadies-oyster-room-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Restaurants have made bar food their own. In fancy kitchens serving fancy dining rooms, chefs have found almost inconceivably fancy ways to make pub and roadhouse food. The burgers are ground to order and slapped on rolls fresh out of the oven; the hot dogs are squirted with proprietary condiments; the Tater Tots are enrolled in elite private day care.""},{""Review"":""Bars have to fight back somehow. Some of the smartest ones are taking the high road. They’re serving what would have been considered fairly ambitious restaurant food back when categories like that still made sense.""}]","A dim, civilized cocktail lair hidden behind the back wall of a corner tavern. Servers are quietly effective.","166 DeKalb Avenue,
                             Fort Greene","347-223-4811","Quiet enough to hear the ice in your neighbor’s drink.","Japanese"
"At Vermilion","It's interesting that Indian and Latin American cuisines share some key flavors — tamarind, lime, cumin, chilies, mango — but not interesting enough to sustain at At Vermilion.","Read Review","http://www.nytimes.com/2009/01/14/dining/14brief-001.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""At Vermilion""},{""Review"":""480 Lexington Avenue (46th Street), (212) 871-6600.""}]","null","null","null","null","null"
"Kottu House","At Kottu House, Chelaka Gunamuni, a young man in stubbly beard and tattoos (one a birthday gift from his wife), tends to the front of the house while his mother, Sandya “Madu” De Silva, cooks a short menu focused on kottu, a Sri Lankan street food that tosses together tatters of roti, scrambled eggs and long-simmering curry.","Read Review","http://www.nytimes.com/2015/05/20/dining/hungry-city-kottu-house-sri-lanka-restaurant-lower-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""A devil’s face with goggle eyes and swollen tongue stares from the window of Kottu House. It’s only a vinyl decal, meant to evoke the wooden masks — often flanked by cobras, peacocks or flames — that guard the entrances of Sinhalese homes in Sri Lanka, warding off evil.""},{""Review"":""Inside, the same face is projected above the bar in random glow-stick colors, to the low pulse of trance music.""}]","singlepage.com/kottu-house","250 Broome Street,
                             Lower East Side","646-781-9222","Seawater fish kottu; crispy prawn kottu; tofu blast kottu; beef rolls; pol sambol; minchi sambol; lunu sambol.","null"
"Rôtisserie Georgette","If Rotisserie Georgette had a clock, its hands would be stopped at five minutes before nouvelle cuisine, when meat was carved to cover the plate and sauce came on the side and nobody turned down potatoes.","Read Review","http://www.nytimes.com/2014/03/19/dining/restaurant-review-rotisserie-georgette-on-the-upper-east-side.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Earlier this year Rôtisserie Georgette put a new chef in charge of its spit-roasted chickens and fish, its fries flecked with tarragon and its baby potatoes heavy with meat drippings, and I couldn’t tell the difference. This is meant as praise, and not the damning-with-faint kind.""},{""Review"":""The cult of the new in restaurants has brought us many wonders, but it has also left us with the curse of compulsory creativity. It’s no longer enough for chefs to cook hot food that makes us happy; they are supposed to dumbfound us with flavors the human tongue has never tasted.""}]","Soaring ceilings, but an intimate Old World feel below. Jackets are not required, though you’d never guess it from the crowd.","14 East 60th Street,
                             Upper East Side","212-390-8060","Moderate.","French"
"Randazzo's Clam Bar","The dark, concentrated, oregano-accented tomato sauce ladled on hot or chilled lobster, fried shrimp, steamed mussels, scungilli or fried calamari is so central to Randazzo’s mission that some customers never look beyond it.","Read Review","http://www.nytimes.com/2013/04/24/dining/reviews/restaurant-review-randazzos-clam-bar-in-sheepshead-bay.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""The regulars at Randazzo’s Clam Bar know what to order. I was still learning the ropes, though, so I invited suggestions.""},{""Review"":""My server’s advice was quick and definitive. “Get the calama’,” she said. “That’s why you’re here.”""}]","Suitable for party people on their way to a Russian nightclub, weekend warriors just off a fishing boat and everyone in between.","2017 Emmons Avenue,
                             Sheepshead Bay","718-615-0010","Just like home, if you have a big, loud family.","Italian, Seafood"
"Masha & the Bear","At Masha and the Bear, the horseradish vodka is infused in-house and stored in pressurized kegs to avoid exposure to air; Anya Vasilenko, the chef, cleaves to tradition with dishes like ukha, a fish soup purportedly beloved by Ivan the Terrible, and Herring in a Fur Coat, a salad born of the Russian Revolution, uniting proletarian herring and peasant potatoes under a mantle of beets in Bolshevik red.","Read Review","http://www.nytimes.com/2015/04/01/dining/hungry-city-masha-the-bear-in-east-williamsburg-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""In the time of Peter the Great, the czar’s chief of police trained a bear to offer visitors a cup of pepper brandy. Down it, and you were ushered in; fail, and you were mauled (or “hugged,” as one 19th-century account delicately put it).""},{""Review"":""At Masha & the Bear, which opened in January in East Williamsburg, Brooklyn, there is no such entrance fee or ursine enforcer. But a challenge of sorts awaits on the drinks menu: horseradish vodka, infused in house. According to Vitaly Sherman, who runs the restaurant with his wife, Maria (known as Masha), Peter the Great mandated that all Russian inns keep a stash of horseradish vodka in their cellars for the rejuvenation of weary travelers. If an innkeeper did not comply, “he was executed,” Mr. Sherman said.""}]","singlepage.com/masha--the-bear","771 Grand Street,
                             Williamsburg","718-384-5000","Blintzes; Olivier salad; solenya (pickles); green borscht; Czar’s ukha (fish soup); beef stroganoff; horseradish vodka; ginger vodka.","Russian"
"Traif","Thoughtful cooking with subtle and complex flavors on the border of Hasidic Williamsburg and hipsterville.","Read Review","http://www.nytimes.com/2010/08/11/dining/reviews/11under.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""IN the valley of the shadow of the Brooklyn-Queens Expressway, where bearded Hasidim cross paths with mustachioed steam punks, stands the restaurant Traif.""},{""Review"":""The name, in  Yiddish, refers to food forbidden under Jewish dietary law. To underscore the point, the front door has the logo of a cute little piggy stamped with a heart.""}]","singlepage.com/traif","229 South Fourth Street ,
                             Williamsburg","347-844-9578","Salad of carrots, oranges, feta, spinach, grapes and sunflower seeds; hamachi carpaccio with nectarines; corn cakes with rock shrimp; duck confit lettuce wraps; cockles with pancetta; scallops with creamed corn.","New American"
"Reynard","Nearly everything that comes out of Reynard’s kitchen is chosen by hand and cooked with firewood.","Read Review","http://www.nytimes.com/2012/08/01/dining/reviews/reynard-in-williamsburg-brooklyn-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""AMONG summer vegetables, okra is not a heartthrob. If green zebra tomatoes and white nectarines are the romantic leads, the part of okra is a cameo played by Willem Dafoe.""},{""Review"":""For those wise to its unconventional charms, though, even an okra cameo can be memorable. That was the case the other night at Reynard, in Williamsburg, Brooklyn. I was eating an excellent piece of wahoo, which the kitchen treated as something like a cross between swordfish and albacore, grilling it to medium rare and slicing it into generous slabs.""}]","A stripped-down brasserie in a soaring industrial space.","80 Wythe Avenue,
                             Williamsburg","718-460-8004","More reasonable than you might imagine, given the tiles, glass and open kitchen.","American"
"Cherche Midi","Cherche Midi may be Keith McNally’s most thorough repudiation of the downtown restaurant scene, and it’s very easy to have a good time, particularly if you stick to red meat and French wine.","Read Review","http://www.nytimes.com/2014/10/01/dining/restaurant-review-keith-mcnallys-cherche-midi.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""We were halfway through appetizers at Cherche Midi, passing the steak tartare and spreading anchovy toasts with softly jiggly Parmesan custard, when one of my guests suddenly tilted his head and listened. He looked like the boy in a tornado movie who notices that the birds have stopped singing.""},{""Review"":""“There’s no music,” he said. “They have speakers all over the dining room, but they’re not using them.”""}]","Recognizably a Keith McNally production but softer than usual, this cherry- and apricot-toned bistro is cloistered in a brick bunker.","282 Bowery,
                             Nolita","212-226-3055","Music plays very quietly or not at all.","French"
"The Lambs Club","A clubbish and warm restaurant in the lobby of the Chatwal Hotel that is a kind of Sardi’s for the modern age.","Read Review","http://www.nytimes.com/2010/10/27/dining/reviews/27rest.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""THERE was a table of fashion people having dinner at the Lambs Club on 44th Street the other night, men and women of letters and soft fabric drinking strawberry gimlets and celebrating lives that allow such pleasures.""},{""Review"":""An enormous gas fireplace near the table roared away as if in a frontispiece drawing for a 19th-century comedic novel, and though no one could sit or stand before it for long, it was very beautiful. Red leather banquettes stretched far and wide through the black-walled room, beneath old photographs of Broadway and Hollywood legends, original members of the Lambs, a group that gathered until 1973 in this building, now the Chatwal Hotel.""}]","A modernized Sardi’s.","132 West 44th Street,
                             Times Square Theatre District","212-997-5262","Conversational.","American"
"Violet’s Bake Shoppe","At this Chinese bakery with a sideline in Vietnamese banh mi, the ratios — of bread to charcuterie (almost all made in-house) to pickles to condiments — are golden. The bread is a cloud in crisp armor, with a crust that snaps like kindling, and then the sandwich is all creaminess, salt and heat, deeply basal flavors and brisk, bright ones, every note seemingly struck at once.","Read Review","http://www.nytimes.com/2016/11/09/dining/violets-bake-shoppe-review-queens.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""Some argue that banh mi, the Vietnamese sandwich, lives and dies by its bread, a cloud in crisp armor, preferably made with a pinch of rice flour for extra spring and crackle.""},{""Review"":""Others keep score by what lies within: layers of fish-sauce-laced charcuterie and musky pâté; cooling strands of pickled daikon and carrots; a jalapeño ambush; a wand of cucumber; sunny cilantro; mayonnaise cut with butter; and a douse of “Vietnamese soy sauce” — typically code for Maggi seasoning.""}]","House special banh mi; grilled minced pork banh mi; pork belly banh mi; baked fish banh mi; pâté banh mi; cold noodles; summer rolls; bun rieu cua (crab noodle soup); egg tarts. Prices $2 to $9.75.","72-36 Austin Street,
                             Forest Hills","718-263-3839","$ (inexpensive)","Vietnamese"
"Maison Premiere","When Maison Premiere first opened in Williamsburg, it was primarily a bar, serving little more than absinthe and oysters. But now a proper kitchen has been built in the basement and the menu expanded.","Read Review","http://www.nytimes.com/2013/06/05/dining/reviews/hungry-city-maison-premiere-in-williamsburg.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""The tight room is astonishingly loud, verging on raucous, but still the waiters murmur, hands behind their backs.""},{""Review"":""They are better dressed than the diners, in black vests and narrow ties, and never break character. A porcelain cloche is lifted, a sauce poured from a tiny jug, cloche after cloche, jug after jug. At first this prim choreography seems tongue-in-cheek, then earnest, and finally almost silly — and all the more charming for it, like much of the orchestrated seduction that is a night at Maison Premiere.""}]","singlepage.com/maison-premiere","298 Bedford Avenue,
                             Williamsburg","347-335-0446","Sea scallop with pickled rhubarb and horseradish ice; Spanish mackerel escabeche; daurade with tarragon and pickled gooseberries; mussels with saffron potato velouté; turbot; black cod; cannelés and madeleines.","Seafood"
"Indian Road Cafe","Wandering into Indian Road Cafe is like discovering a secret hideaway. In the culinary tug-of-war between innovation and familiarity, the chef Nicholas Wright-Bodine pulls tenaciously for Team Comfort.","Read Review","http://www.nytimes.com/2014/08/20/dining/hungry-city-indian-road-cafe-in-inwood.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""I moved to New York from the West Coast 20 years ago, but only this summer was I introduced to a little-known fact about the island of Manhattan: If you take the A train all the way to its northern terminus, you wind up in Seattle.""},{""Review"":""Debark at 207th Street and amble in a northwesterly direction, and your steps will carry you to the sort of neighborhood hangout that calls to mind, to be more precise, the city of the Space Needle circa the early ’90s. There’s one counter for some very good coffee, and another with a considered selection of craft beers on tap.""}]","singlepage.com/indian-road-cafe","600 West 218th Street,
                             Inwood","212-942-7451","Heirloom tomato salad; grilled octopus; shrimp and bacon sandwich; Maryland crab cakes; skirt steak with roasted potatoes; beer and cocktails; coffee; German chocolate cake.","Coffee Shops, New American, Sandwiches"
"Empellón Cocina","Alex Stupak’s mash note to the food of Mexico resembles its inspiration the way dreams resemble life.","Read Review","http://www.nytimes.com/2012/04/25/dining/reviews/empellon-cocina-in-the-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""THE danger in writing about the smart and often inspired cooking at Empellón Cocina, Alex Stupak’s free-associating mash note to the food of Mexico, is that other chefs might get the idea that anybody can do what he has done.""},{""Review"":""Mr. Stupak first took up Mexican food last year, in a Greenwich Village restaurant he called Empellón. He added Taqueria to that first restaurant’s name when he opened Empellón Cocina in the East Village in February. In both cases, Empellón means a push or a shove, as in the push you’d give a child who isn’t sure he is ready to swim. Mr. Stupak is on both ends of that push.""}]","Past the half-moon bar is a black-and-white dining room dominated by Sylvia Ji’s eerie paintings and a kitchen window inscribed with the names and ingredients of salsas. Servers may say things like, “It’s kind of a make-your-own-taco kind of deal,” but they do know what they’re talking about.","105 First Avenue,
                             East Village","212-367-0999","Unlike the ones at Empellón Taqueria, the acoustic tiles here do dampen crowd noise.","Mexican"
"Indian Accent","A Midtown branch of an acclaimed restaurant in New Delhi, Indian Accent feeds the desire to see traditional cuisine twisted, bent and played with.","Read Review","http://www.nytimes.com/2016/05/25/dining/indian-accent-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""The emails from New Delhi began last spring.""},{""Review"":""A new one arrived every few months, informing me that a branch of a restaurant in that city named Indian Accent was about to open in Midtown, and urging me to check it out.""}]","An elegantly modern dining room that has character without lapsing into exotic tropes. Servers are personable, outgoing, eager to explain.","123 West 56th Street,
                             Midtown","212-842-8070","Moderate.","Indian"
"Ellary's Greens","Ellary’s Greens is not so much a restaurant as dining rehab. The menu is devoted to natural and organic foods, and Leith Hill, the owner, is serious about closing the divide between good-for-you and delicious.","Read Review","http://www.nytimes.com/2013/11/27/dining/reviews/hungry-city-ellarys-greens-in-the-west-village.html?rref=collection%2Fcollection%2Frestaurant-guide","[{""Review"":""“Free detox shots!” the waitress called out as she sashayed through the dining room, a tray of tiny glasses at her shoulder. The liquid in them was jungle green and wobbled. It tasted of kale and salvation, with celery and lemon for a bright-eyed, bushy-tailed finish. I downed it and waited for the world to change.""},{""Review"":""Ellary’s Greens, which opened in the West Village in April, is not so much a restaurant as dining rehab. Butter and cream are banned from the kitchen. (A lone stick of butter is stowed behind the counter, a concession to those who require a dab on their morning bagel.) The menu, devoted to natural and organic foods, is minutely annotated to distinguish vegan dishes from the merely vegetarian and to announce freedom from dairy and gluten.""}]","singlepage.com/ellarys-greens","33 Carmine Street ,
                             West Village","212-920-5072","Smoked deviled eggs; crispy roasted chicken breast; grilled salmon; Moroccan lentil salad; black-eyed peas; beets; Brussels sprouts; mashed potatoes; chickpea burger.","Vegan"
