name,address,zipcode,cuisine,price,violation_code,critical_flag,grade,median_household_income,median_real_estate_value,population_density,cost_of_living,population,neighborhood,borough
thai wok,"1406 madison ave, ,",10029,thai,$,02B,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
nocciola pizzeria e trattoria,"123 e 110th st, ,",10029,italian,$$,06A,Critical,C,31888,787000,93875,186.2,77454,East Harlem,Manhattan
el aguila,"1634 lexington ave, ,",10029,mexican,$,06C,Critical,B,31888,787000,93875,186.2,77454,East Harlem,Manhattan
steak and hoagies,"1657 madison ave, ,",10029,chinese american,$,08A,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
el nuevo caridad restaurant,"2257 2nd ave, ,",10029,cuban american puerto rican latin dominican,$$,10B,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
jiang china king,"1759 lexington ave, ,",10029,chinese,$,10F,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
kennedy fried chicken,"2100 2nd ave,",10029,seafood desserts,$,08A,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
superior cafe,"1490 madison ave, ,",10029,american,$$,04N,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
jalapeno deli,"1629 lexington ave, ,",10029,mexican latin american,$,10F,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
famous famiglia pizzeria,"1398 madison ave, ,",10029,italian,$,10F,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
champignon on madison,"1389 madison ave, ,",10029,french american,$,02B,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
judy's spanish restuarant,"1505 lexington ave, ,",10029,spanish latin american,$$,06C,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
king dragon 88,"1548 madison ave, ,",10029,chinese,$$,06C,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
mamagyro,"165 e 106th street, between 3rd & lexington,",10029,desserts burgers greek,$$,02B,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
bosie bakery,"2132 2nd ave, ,",10029,bakery cafe,$,06C,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
halah kitchen,"2135 2nd ave, ,",10029,pakistani chinese,$,10F,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
joosed by lloyd's,"1555 lexington ave, ,",10029,bars cafe,$,10E,Not Critical,C,31888,787000,93875,186.2,77454,East Harlem,Manhattan
subway,"1392 madison ave, ,",10029,,$,02G,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
dong's great wok garden ii,"1631 lexington ave, ,",10029,chinese,$,02G,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
lexington restaurant,"1869 lexington avenue, ,",10029,american cuban puerto rican latin dominican,$,02G,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
subway,"1873 2nd ave, ,",10029,,$,10D,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
5 star cheese steak and pizza,"2039 1st ave, ,",10029,italian,$,09C,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
new nyc yoan ming garden,"1407 madison ave, ,",10029,chinese,$,04L,Critical,B,31888,787000,93875,186.2,77454,East Harlem,Manhattan
taqueria guadalupe,"1743 lexington ave, ,",10029,mexican,$$,10F,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
burger king,"154 e 116th st, ,",10029,burgers american,$,10B,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
wing gong restaurant,"2109 1st ave, ,",10029,chinese,$,02B,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
asian gourmet,"1509 lexington ave, ,",10029,asian chinese,$,09B,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
taco bell,"1503 lexington ave, ,",10029,mexican,$,06D,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
blimpie,1928 third avenue,10029,,$,04N,Critical,B,31888,787000,93875,186.2,77454,East Harlem,Manhattan
mcdonald's,"1997 3rd ave, ,",10029,burgers american,$,06D,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
the jaguar restaurant,"1735 lexington ave, ,",10029,mexican,$$,04N,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
seattle cafe,"1411 madison ave, ,",10029,american,$,06D,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
mj pizza,"1976 1st ave, ,",10029,italian,$$,04N,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
wendy's,"2123 3rd ave, ,",10029,burgers american,$,08A,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
burger king,1886 3rd ave,10029,burgers american,$$,04N,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
eddie's ny deli & pizza,"184 e 116th st, ,",10029,italian american,$,06D,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
mcdonald's restaurant,"1871 2nd ave, ,",10029,burgers american,$,06A,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
mcdonald's,1872 3rd ave,10029,burgers american,$,06D,Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
taco bell,"1884 third ave, ,",10029,mexican,$,10F,Not Critical,A,31888,787000,93875,186.2,77454,East Harlem,Manhattan
hyacinth haven harlem,"2374 adam clayton powell jr blvd, ,",10030,bars american,$$,10B,Not Critical,A,31925,509000,102070,168.4,28472,Central Harlem,Manhattan
the edge,"101 edgecombe ave, ,",10030,cafe american,$$,06C,Critical,A,31925,509000,102070,168.4,28472,Central Harlem,Manhattan
famous fish market,"684 st. nicholas ave, ,",10030,seafood,$,08A,Not Critical,A,31925,509000,102070,168.4,28472,Central Harlem,Manhattan
cari wine bar & restaurant,"2647 frederick douglass blvd,",10030,cuban american caribbean puerto rican spanish latin burgers dominican,$$,06D,Critical,A,31925,509000,102070,168.4,28472,Central Harlem,Manhattan
ma dukes,"2492 frederick douglass blvd, ,",10030,,$$,05D,Critical,Z,31925,509000,102070,168.4,28472,Central Harlem,Manhattan
manhattanville coffee,"142 edgecombe ave, ,",10030,cafe,$,06C,Critical,A,31925,509000,102070,168.4,28472,Central Harlem,Manhattan
a taste of seafood restaurant,"2530 135th st frederick douglass blvd, ,",10030,seafood,$$,10F,Not Critical,A,31925,509000,102070,168.4,28472,Central Harlem,Manhattan
mcdonald's,2379 adam clayton powell jr blvd,10030,burgers american,$,10B,Not Critical,A,31925,509000,102070,168.4,28472,Central Harlem,Manhattan
krispy krunchy chicken,"2534 frederick douglass, ,",10030,,$,06E,Critical,A,31925,509000,102070,168.4,28472,Central Harlem,Manhattan
ihop,"2290 adam clayton powell jr blvd, ,",10030,american,$$,10F,Not Critical,A,31925,509000,102070,168.4,28472,Central Harlem,Manhattan
make my cake,"2380 adam clayton powell blvd, ,",10030,bakery,$$,04L,Critical,A,31925,509000,102070,168.4,28472,Central Harlem,Manhattan
harlem public restaurant,"3612 broadway, ,",10031,bars american,$$,06B,Critical,B,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
the handpulled noodle,"3600 broadway,",10031,asian chinese,$$,04L,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
fumo restaurant,"1600 amsterdam ave, ,",10031,italian,$$,10B,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
frijolito's restaurant,"3446 broadway,",10031,mexican,$,10F,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
solace bar and grill,"3496 broadway,",10031,bars spanish,$$,02B,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
trufa restaurant,"3431 broadway, ,",10031,italian american,$$,06C,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
the draft house,"3473 broadway, ,",10031,bars italian american,$$,10B,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
unione restaurant & bar,"3628 broadway, ,",10031,bars american,$$,10B,Not Critical,B,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
anchor wine bar,"3508 broadway, ,",10031,bars italian,$$,10F,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
sofrito,"679 riverside dr, ,",10031,cuban american puerto rican spanish latin dominican,$$,06D,Critical,B,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
bono trattoria,"3658 broadway, ,",10031,italian,$$,10B,Not Critical,C,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
sugar hill cafe,"410 w 145th st, ,",10031,cafe,$,10F,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
sugar hill cafe,"410 w 145th st, ,",10031,cafe,$,02G,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
"agave mexican, spanish & american grill","398 w 145th st, ,",10031,mexican spanish latin american,$,08A,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
taqueria san pedro,3662 broadway,10031,mexican,$,04N,Critical,C,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
farafina café & lounge harlem,"1813 amsterdam ave, ,",10031,caribbean african,$$,05D,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
tsion cafe & bakery,"763 st nicholas ave,",10031,mediterranean,$$,08A,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
chinelos ii deli-grocery restaurant,"530 w 136th st, ,",10031,mexican,$,10F,Not Critical,B,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
grill on the hill,"1624 amsterdam ave, ,",10031,bars american,$$,08A,Not Critical,Z,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
new good taste chinese restaurant,"3371 broadway, ,",10031,chinese,$,02G,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
new kim tong,"1722 amsterdam ave, ,",10031,seafood chinese,$,04N,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
flor de broadway restaurant,"3395 broadway, ,",10031,cuban american caribbean puerto rican latin dominican,$,10F,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
el nuevo amanecer restaurant & lounge,"3666 broadway, between 151st & 152nd st",10031,cuban american puerto rican spanish latin dominican,$,04K,Critical,B,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
picante mexican bar and grill restaurant,"3424 broadway,",10031,mexican,$$,06C,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
grand great wall restaurant inc,"1588 amsterdam avenue, ,",10031,chinese,$,06D,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
at the wallace,"3612 broadway, ,",10031,bars american,$,08A,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
bus stop restaurant,"3341 broadway, ,",10031,american,$,06E,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
golden wok,"1770 amsterdam ave, ,",10031,chinese,$,02G,Critical,B,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
mofongo del valle,"3340 broadway, ,",10031,cuban american caribbean puerto rican latin dominican,$,06D,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
caridad restaurant,"3533 broadway, ,",10031,spanish latin american,$$,06C,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
new golden dragon chinese restaurant,"398 w 145th st, ,",10031,chinese,$,04N,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
crown fried chicken,"3351 broadway, ,",10031,burgers,$$,06C,Critical,B,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
jumbo pizza coffee shop,"3594 broadway, ,",10031,italian cafe,$,08C,Not Critical,B,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
domino's pizza,"3624 broadway, ,",10031,italian,$$,10F,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
village fried chicken,"1739 amsterdam avenue, ,",10031,burgers,$,06C,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
new happiness,"3640 broadway, ,",10031,chinese,$,10F,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
papa john's pizza,"1709 amsterdam ave, ,",10031,italian,$$,10F,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
mcdonald's,"3410 broadway, ,",10031,burgers american,$,10B,Not Critical,B,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
subway,"3419 broadway, ,",10031,,$,10B,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
wholesome garden pizza,"3529 broadway ave, ,",10031,italian,$,08A,Not Critical,B,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
subway,"3559 broadway, ,",10031,,$$,08C,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
the chipped cup,"3610 broadway, ,",10031,cafe,$$,08A,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
pizza guys,"3609 broadway, ,",10031,italian,$,10F,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
the monkey cup,"1730 amsterdam ave, ,",10031,cafe,$,04O,Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
dunkin' donuts,"3369 broadway, ,",10031,cafe,$,10F,Not Critical,A,37655,369800,90800,157.2,59092,Inwood and Washington Heights,Manhattan
la barca restaurant,"3892 broadway, ,",10032,cuban american caribbean puerto rican latin dominican,$,06D,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
gogo-gi,"3908 broadway, ,",10032,korean,$,10B,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
las palmas restaurant,"3891 broadway, ,",10032,mexican,$,02G,Critical,B,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
marcha cocina bar,"4055 broadway, ,",10032,bars spanish american,$$,10D,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
company catered events,"537 edgecombe ave, ,",10032,bakery,$$,06F,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
burger heights,"79 audubon ave,",10032,burgers desserts american,$$,06D,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
tasty deli,"4020 broadway, ,",10032,american,$,04M,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
heights tavern,"3910 broadway,",10032,bars american,$$,06F,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
san francisco restaurant,"59 audubon ave,",10032,cuban american puerto rican spanish latin dominican,$,09C,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
aquamarina,"4060 broadway, ,",10032,italian,$$,10F,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
sweet life pastry,"3887 broadway, ,",10032,bakery mexican,$,08A,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
la dinastia ii,"4059 broadway, ,",10032,cuban chinese,$$,08A,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
la oaxaquena restaurant,"1969 amsterdam ave, ,",10032,mexican,$,02H,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
antika restaurant & pizzeria,"3924 broadway, ,",10032,italian,$$,02G,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
elsa la reyna del chicharron,"1249 st. nicholas ave, ,",10032,cuban american puerto rican latin dominican,$,10F,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
el pitallito mexican restaurant,3854 broadway,10032,mexican spanish,$,10F,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
dallas bbq,"3956 broadway, ,",10032,barbeque,$$,10F,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
koronet pizza,"4087 broadway,",10032,italian,$,04L,Critical,B,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
hilltop perk deli,"83 haven ave, ,",10032,american,$,09A,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
coogan's,"4015 broadway,",10032,bars irish american,$$,10F,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
wahi diner,"3915 broadway, ,",10032,american,$,06C,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
slice pizza of amsterdam,2224 amsterdam ave,10032,italian,$$,02B,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
no 1 chinese restaurant,"3853 broadway,",10032,chinese,$,06C,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
el presidente  restaurant,"3938 broadway, ,",10032,spanish dominican latin american,$,04A,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
empanadas monumental,"4093 broadway, ,",10032,caribbean spanish latin american,$,10F,Not Critical,B,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
la terraza restaurant,"3881 broadway, ,",10032,cuban american puerto rican latin dominican,$,10B,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
jade garden,"4028 broadway, ,",10032,chinese,$,02B,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
lucky jade house,4028 broadway,10032,chinese,$,02B,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
kennedy's chicken & grill,2083 amsterdam ave,10032,,$$$$,10F,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
empire szechuan noodle house,"4041 broadway, ,",10032,chinese,$$,10I,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
reme food incorporated,"4021 broadway, ,",10032,american,$,02G,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
boston market,"3781 broadway, ,",10032,american,$,06C,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
parrilla latin bistro,"3920 broadway, ,",10032,cuban american puerto rican latin dominican,$$,10F,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
como pizza,"4035 broadway, ,",10032,italian,$,10F,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
galicia restaurant,"4083 broadway, ,",10032,cuban american puerto rican spanish latin dominican,$$,10B,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
brothers fish market,3845 broadway,10032,seafood,$$,06C,Critical,Z,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
latino's bar & grill restaurant,"3864 broadway,",10032,cuban american puerto rican latin dominican,$$,04N,Critical,B,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
subway,"651 w 169th st, ,",10032,american,$,10F,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
guadalupana deli and victoria restaurant,"3825 broadway, ,",10032,mexican spanish,$,04L,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
el nuevo jobo restaurant & bar,"3915 broadway,",10032,cuban american bars puerto rican spanish latin dominican,$$,06E,Critical,Z,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
el nuevo jobo restaurant & bar,"3915 broadway,",10032,cuban american bars puerto rican spanish latin dominican,$$,10F,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
fish & shrimp restaurant spot,"2089 amsterdam ave, ,",10032,seafood,$$,09B,Not Critical,C,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
new jade house,"2131 amsterdam ave, ,",10032,chinese,$,04L,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
strokos,"1121 st nicholas ave, ,",10032,,$,06D,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
famous famiglia pizzeria,"4020 broadway, ,",10032,italian,$,10H,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
splendid china,"2038 amsterdam ave, ,",10032,chinese,$,04N,Critical,B,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
chipotle mexican grill,"4009 broadway, ,",10032,mexican,$,04L,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
wendy's,"3939 broadway, ,",10032,burgers american,$,10J,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
flaco's pizzeria,"3876 broadway, ,",10032,italian,$,10A,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
new  luck garden,"1954 amsterdam ave, ,",10032,chinese,$$,06D,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
mcdonald's,"3809 broadway, ,",10032,burgers american,$,10B,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
subway,"3795 broadway, ,",10032,,$$,10B,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
jou jou cafe (presbyterian hospital),"3959 broadway, ,",10032,cafe american,$,10B,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
subway,"3920 broadway, ,",10032,,$$,06D,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
carrot top pastries,"3931 broadway,",10032,bakery,$,10F,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
mike's bagels,"4003 broadway, ,",10032,cafe,$,10F,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
dunkin donuts,"1206 saint nicholas ave, ,",10032,cafe,$,06D,Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
empanadas monumental,"3772 broadway, ,",10032,spanish,$,08A,Not Critical,A,34568,334900,90307,156.8,59374,Inwood and Washington Heights,Manhattan
malecon restaurant,"4141 broadway,",10033,spanish dominican latin american,$$,02G,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
new golden star restaurant,"4247 broadway, ,",10033,chinese,$$,02B,Critical,B,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
burger heights,"177 wadsworth ave, ,",10033,burgers american,$,08A,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
kazza wine bar,"708 w 177th st,",10033,bars cafe,$$,10F,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
el conde nuevo bar & restaurant,"4139 broadway, ,",10033,spanish latin american,$$,10F,Not Critical,Z,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
las tapas,"808 w 187th st,",10033,bars spanish,$$,10F,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
green juice cafe,"4316 broadway,",10033,bars cafe,$,10B,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
chicken ranch,"315 audubon ave,",10033,spanish greek,$,02G,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
golan heights,"2553 amsterdam ave, ,",10033,jewish middle eastern,$$,10F,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
el guanaco restaurant & pupuseria,"4195 broadway, ,",10033,cuban american puerto rican latin dominican salvadoran,$,08A,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
tung thong 181,"812 w 181st st,",10033,thai,$,08A,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
floridita restaurant uptown,"4162 broadway, ,",10033,american cuban puerto rican latin dominican,$,06C,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
cafe buunni,"213 pinehurst ave, ,",10033,cafe,$,02G,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
fresco's pizzeria,"804 w 187th st,",10033,italian,$,02B,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
king garden restaurant,"4316 broadway, ,",10033,cantonese chinese,$,10F,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
new hua yung kitchen,"4131 broadway, ,",10033,chinese,$,10I,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
pick & eat,"4179 broadway, ,",10033,caribbean american,$$,06D,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
marisco centro,"1490 st. nicholas ave, ,",10033,seafood latin american,$$,02B,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
mambi steak house,"4181 broadway, ,",10033,cuban american puerto rican latin dominican,$$,06C,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
altus cafe,"4325 broadway, ,",10033,cuban american puerto rican spanish latin dominican,$$,06D,Critical,Z,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
no 1 chinese restaurant,"825 w 181st st, ,",10033,chinese,$,06D,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
lucky seven tapas bar,"1455 st nicholas ave,",10033,cuban american bars puerto rican latin dominican,$$,09C,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
george's pizza,"726 w 181st st, ,",10033,italian,$,04L,Critical,Z,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
taco bell,"1351 st nicholas ave,",10033,mexican,$,10F,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
mcdonald's,"4259 broadway, ,",10033,burgers american,$,10F,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
mi paso centro americano restaurant,"4129 broadway, ,",10033,cuban american puerto rican latin dominican,$,10F,Not Critical,Z,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
great wall chinese food,"800 w 181st st, ,",10033,chinese,$,02B,Critical,Z,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
china sun,"1270a saint nicholas ave, ,",10033,chinese,$,10F,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
ideal deli & grocery,"4119 broadway, ,",10033,american,$,06C,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
subway,"4227 broadway, ,",10033,,$,10F,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
happy world restaurant,"1309 saint nicholas ave, ,",10033,chinese,$,08A,Not Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
new broadway pizzeria and coffee,"4312 broadway, ,",10033,italian american,$,04M,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
lake como pizza,"2549 amsterdam ave, ,",10033,jewish italian,$$,04L,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
el panadero bakery,"1380 saint nicholas avenue, ,",10033,bakery,$,06D,Critical,A,41556,422100,97115,158.4,58710,Inwood and Washington Heights,Manhattan
